MinDom,LowMin,BranGP-H,GP-H,MLP-H,SVM-H
-0.181,0.301,0.315,0.310,0.327,\bf{0.333}
0.168,0.145,0.145,0.151,0.154,0.167
\emph{nan},\emph{4e-173},\emph{9e-178},\emph{3e-175},\emph{7e-176},\emph{1e-169}
